t (ms);WP;WP_Total;TCP_X;TCP_Y;TCP_Z;Tgt_X;Tgt_Y;Tgt_Z;Dist (mm);Vel (mm/s);J1 (deg);J2 (deg);J3 (deg);J4 (deg);J5 (deg);J6 (deg)
10486;1;1;84.2;123.3;157.8;200;0;280;208.7;33.9;-36.9;-2.6;1.8;8.4;-46.2;-82.9
10586;1;1;85.7;121.7;157.2;200;0;280;207.3;36.6;-36.1;-2.5;1.8;8.3;-46.1;-81.8
10686;1;1;86.6;121.1;157.5;200;0;280;206.3;38.4;-35.8;-2.6;2;8.1;-46.2;-81.2
10786;1;1;87.3;120.5;157.4;200;0;280;205.5;39.7;-35.4;-2.6;2.1;8.1;-46.2;-80.8
10886;1;1;88;120.4;157.9;200;0;280;204.8;40.9;-35.2;-2.6;2.3;7.9;-46.1;-80.4
10986;1;1;88.9;120.2;158.5;200;0;280;203.8;42.4;-35;-2.6;2.5;7.7;-46.1;-80
11086;1;1;89.8;119.9;158.9;200;0;280;202.9;43.7;-34.7;-2.6;2.8;7.7;-46.2;-79.6
11186;1;1;91.2;119.6;160;200;0;280;201.4;45.8;-34.4;-2.6;3.3;7.6;-46.2;-79.2
11286;1;1;92.2;119.4;160.8;200;0;280;200.2;47.3;-34.1;-2.6;3.6;7.6;-46.2;-78.8
11386;1;1;93.1;119.3;161.5;200;0;280;199.3;48.5;-33.9;-2.6;4;7.6;-46.2;-78.4
11486;1;1;94.3;119;162.3;200;0;280;197.9;50;-33.6;-2.6;4.3;7.6;-46.2;-78
11586;1;1;95.1;118.8;163;200;0;280;197;50;-33.4;-2.6;4.7;7.6;-46.2;-77.4
11686;1;1;96.5;118.2;163.6;200;0;280;195.5;50;-33;-2.6;5;7.5;-46.2;-76.8
11786;1;1;97.7;118;164.6;200;0;280;194.1;50;-32.7;-2.6;5.4;7.4;-46.2;-76.3
11886;1;1;98.2;117.4;164.8;200;0;280;193.4;50;-32.5;-2.6;5.8;7.4;-46.6;-75.2
11987;1;1;100.6;117;166.9;200;0;280;190.7;50;-32;-2.6;6.7;6.9;-46.7;-74.2
12086;1;1;102.5;116.1;168.2;200;0;280;188.3;50;-31.5;-2.6;7.5;6.9;-47.1;-72.9
12186;1;1;104.6;115.4;170.1;200;0;280;185.7;50;-30.9;-2.6;8.3;6.7;-47.5;-72
12287;1;1;106;114.9;171.7;200;0;280;183.7;50;-30.7;-2.6;9.2;6.7;-48.2;-71
12387;1;1;108.2;113.8;173.5;200;0;280;180.9;50;-30.1;-2.6;10.1;6.7;-48.7;-70
12487;1;1;109.8;113.2;175.3;200;0;280;178.7;50;-29.7;-2.6;11;6.8;-49.2;-69.3
12587;1;1;111.5;112.4;176.6;200;0;280;176.5;50;-29.3;-2.5;11.8;6.8;-49.8;-68.5
