WP;Tx;Ty;Tz;Ax;Ay;Az;Ex;Ey;Ez;Enorm
1;200;0;280;199.5;-1.2;279.2;-0.5;-1.2;-0.8;1.526
2;200;80;280;200.4;79.3;280.9;0.4;-0.7;0.9;1.208
3;200.99972195263408;79.97936990752541;280;200.4;79.3;280.9;-0.6;-0.68;0.9;1.277
4;201.9980139922087;79.9217510336912;280;202.8;80.3;280.9;0.8;0.38;0.9;1.263
5;202.99410114847237;79.83371369779603;280;202.8;80.3;280.9;-0.19;0.47;0.9;1.032
6;203.98782434503065;79.72199647859985;280;204.5;79.9;280.8;0.51;0.18;0.8;0.966
7;204.97951677833726;79.59342233628203;280;205.7;79.5;280.6;0.72;-0.09;0.6;0.942
8;205.96987371832995;79.4548958703192;280;206.4;79.8;280.3;0.43;0.35;0.3;0.628
9;206.95690600260573;79.29516284589455;280;206.4;79.8;280.3;-0.56;0.5;0.3;0.809
10;207.93310121550655;79.07881303275583;280;207.7;79.1;280.4;-0.23;0.02;0.4;0.463
11;208.89772771399606;78.81547602728513;280;209.7;78.6;280.2;0.8;-0.22;0.2;0.854
12;209.85162507480914;78.51549258837443;280;209.7;78.6;280.2;-0.15;0.08;0.2;0.265
13;210.7964606915518;78.1880226968918;280;211.3;78.5;280.3;0.5;0.31;0.3;0.664
14;211.7344829276694;77.84147758319384;280;211.3;78.5;280.3;-0.43;0.66;0.3;0.844
15;212.66522868872394;77.47597652421392;280;213.3;77.1;280.1;0.63;-0.38;0.1;0.745
16;213.57860561945225;77.06906050062719;280;213.3;77.1;280.1;-0.28;0.03;0.1;0.298
17;214.47389124462748;76.6237144317524;280;213.3;77.1;280.1;-1.17;0.48;0.1;1.271
18;215.3514234148561;76.14431125346646;280;215.8;75.9;279.9;0.45;-0.24;-0.1;0.52
19;216.21141170047724;75.63409085288275;280;215.8;75.9;279.9;-0.41;0.27;-0.1;0.5
20;217.0538387556605;75.09536066042918;280;217.5;74.8;280;0.45;-0.3;0;0.535
21;217.87625822584994;74.52660827039058;280;217.5;74.8;280;-0.38;0.27;0;0.465
22;218.67337245166846;73.92290315486451;280;219;74;280;0.33;0.08;0;0.336
23;219.4438106620509;73.28550806428154;280;219.9;73.1;280.6;0.46;-0.19;0.6;0.776
24;220.18530194745563;72.6146694208746;280;219.9;73.1;280.6;-0.29;0.49;0.6;0.823
25;220.89422392230765;71.90952191625057;280;221.9;70.7;279.7;1.01;-1.21;-0.3;1.601
26;221.56573858924662;71.16867872918185;280;221.9;70.7;279.7;0.33;-0.47;-0.3;0.649
27;222.20619105840103;70.40075602273953;280;222.3;70.3;280;0.09;-0.1;0;0.138
28;222.81411739291482;69.6068700175564;280;223.1;69.4;280;0.29;-0.21;0;0.353
29;223.38088168707063;68.78314387578446;280;223.6;68.4;279.7;0.22;-0.38;-0.3;0.534
30;223.8945386211776;67.92538212155117;280;224.1;67.7;279.8;0.21;-0.23;-0.2;0.365
31;224.33848701442878;67.02967912463983;280;224.7;66.6;280.1;0.36;-0.43;0.1;0.57
32;224.75224290796308;66.11929302208452;280;224.7;66.6;280.1;-0.05;0.48;0.1;0.494
33;225.14926378312543;65.20155011704287;280;225.2;64.8;280.1;0.05;-0.4;0.1;0.417
